Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Mozambique,MOZ,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,15218785501.678,17384565801.1537,18378359081.8077,17741679178.9777,15130344379.3329,13449443945.3014,13710432350.8509,14944811390.0129,14778149037.7771,15592881343.7846,16343626291.8256,18191768497.1206,19085238914.6953
Myanmar,MMR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,58350710643.2039,63366925417.3441,64029127392.7549,62920798234.5782,63559467229.0533,63585330350.0236,68712119598.9584,72902952271.4541,70175778628.2422,66036882141.0437,69016886073.129,66115660820.9274,65932084590.0423
Nepal,NPL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,20688275416.3963,23045814209.2559,23743523782.1652,24128375452.3877,24065937869.437,27232902794.1982,31521660761.3272,35197856079.8989,34584610733.5805,36938812371.0019,41059735664.2406,42392461170.6199,43728566186.8304
Nicaragua,NIC,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,10004038415.4111,10561246609.5697,11244776801.7707,11767931715.2627,12333268218.9241,12954227501.3785,12753883716.2565,12503800873.0221,11864946856.5664,13664492975.3632,14453732162.2716,16085682469.329,17375415690.7325
Niger,NER,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,9768088870.61391,10628680701.2069,11298670147.8894,11120160857.5411,10962186269.202,11171380572.1288,12864418487.9604,13891015055.804,13296851544.1657,14814409554.6042,15121636234.9781,16615185610.0326,18267985643.3465
Nigeria,NGA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,416376921798.703,471589543788.297,533512166618.063,525527997171.075,463851771590.265,403827850925.038,400473681117.694,473963907091.563,525428093966.169,625141511628.026,653664923926.35,590527353056.839,396178674593.386
Pakistan,PAK,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,230696445069.555,254818748255.26,267580609363.187,279057636265.841,299994115109.889,323244061611.297,353575600973.585,349835987638.997,321895545822.007,340951453586.571,369161937787.261,359148394746.623,358342693207.373
Papua New Guinea,PNG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,17349352313.243,19432826991.8119,23770125366.3747,22072947314.0216,21605357912.3262,21203311429.5998,21715188607.4209,23213597719.6731,23610383462.4842,23745323168.7972,27493953540.0786,29095066757.8044,30660103294.4392
Rwanda,RWA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,7431788069.81341,7837464297.06312,8178882300.20384,8555457932.33271,8655609787.83402,8796938553.70472,9589999235.7079,10439961524.5394,10011918345.1028,11252796488.1768,12779808953.6617,13938636237.525,14790509313.4318
Samoa,WSM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,705572037.967622,743213382.402184,765222316.700863,800555759.283326,839309809.251015,841236835.38427,851176542.067263,895730545.234726,864642257.048097,853124455.787628,888483171.976722,1040166026.84374,1099170138.33264
Sao Tome and Principe,STP,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,220579573.699035,254801614.31214,281202220.932028,279487133.939486,289220678.571843,297476660.161456,349859387.82952,386802644.64269,440554551.128141,493718039.610731,549053133.840769,599019144.044734,671196938.724745
